id_compra;loja;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
39;São Brás;Carlos;Iphone;Jessica Malave;feminino;boleto
40;São Paulo;Lucas Pereira;Smart Band 9 pro;Barbara Whitt;feminino;dinheiro
41;Juiz de Fora;Marcelo;Geladeira;David Craig;masculino;cartão de crédito
42;Juiz de Fora;Marcelo;Geladeira;Christopher Freeman;masculino;boleto
43;São Paulo;Ana Oliveira;Iphone;Humberto Torres;masculino;cartão de crédito
44;São Paulo;Lucas Pereira;Iphone;Devin Snyder;masculino;boleto
45;Belo Horizonte;Leticia;Iphone;Pearl Peterson;feminino;cartão de crédito
46;Juiz de Fora;Luiza;Guitar Condor;Beverly Hart;feminino;pix
47;São Paulo;Lucas Pereira;Guitar Condor;William Catanzaro;masculino;dinheiro
48;São Paulo;Lucas Pereira;Iphone;Eric Ivey;masculino;dinheiro
49;São Brás;Carlos;Smart Band 9 pro;James Croteau;masculino;cartão de crédito
50;São Brás;Cristina;Geladeira;Angela Wilson;feminino;cartão de crédito
51;São Paulo;Lucas Pereira;Iphone;Lucy Morales;feminino;boleto
52;Juiz de Fora;Luiza;Guitar Condor;Harry Potts;masculino;boleto
53;Juiz de Fora;Luiza;Geladeira;Gary Plowman;masculino;cartão de crédito
54;São Brás;Cristina;Iphone;Melisa Crittle;feminino;pix
55;Juiz de Fora;Marcelo;Geladeira;Eva Miller;feminino;dinheiro
56;São Paulo;Ana Oliveira;Geladeira;Glen Todd;masculino;dinheiro
57;Belo Horizonte;Leticia;Geladeira;Tony Pino;masculino;cartão de crédito
58;Belo Horizonte;Leticia;Smart Band 9 pro;Mildred Hirsch;feminino;boleto
59;Belo Horizonte;Leticia;Geladeira;Rita Grant;feminino;cartão de crédito
60;São Brás;Cristina;Geladeira;Ismael Medovich;masculino;cartão de crédito
61;São Brás;Carlos;Smart Band 9 pro;Linda Gatesy;feminino;boleto
62;São Brás;Cristina;Guitar Condor;Brittany Blankenship;feminino;dinheiro
63;São Paulo;Lucas Pereira;Smart Band 9 pro;Roy Moman;masculino;cartão de crédito
64;Juiz de Fora;Marcelo;Guitar Condor;Alan Saunders;masculino;cartão de crédito
65;São Brás;Cristina;Smart Band 9 pro;Lourdes Huffman;feminino;dinheiro
66;Belo Horizonte;Leticia;Smart Band 9 pro;Glen Miranda;masculino;cartão de crédito
67;São Brás;Carlos;Iphone;Vincent Nutter;masculino;pix
68;São Brás;Cristina;Guitar Condor;Anna Guzman;feminino;boleto
69;São Paulo;Ana Oliveira;Guitar Condor;James Taylor;masculino;cartão de crédito
70;Juiz de Fora;Marcelo;Iphone;Eva Hoelscher;feminino;cartão de crédito
71;São Paulo;Lucas Pereira;Iphone;Bobby Goodwin;masculino;boleto
72;São Paulo;Lucas Pereira;Guitar Condor;Robyn Cooper;feminino;boleto
73;Belo Horizonte;Luiz;Smart Band 9 pro;Andrew Gorman;masculino;dinheiro
74;Juiz de Fora;Luiza;Geladeira;Andrew Kight;masculino;pix
75;São Brás;Carlos;Smart Band 9 pro;Mary Sperrey;feminino;pix
76;Belo Horizonte;Luiz;Geladeira;Christopher Brimage;masculino;pix
77;São Brás;Carlos;Iphone;Ashley Burnett;feminino;pix
78;São Brás;Cristina;Guitar Condor;Jennifer Rivas;feminino;pix
79;Juiz de Fora;Marcelo;Geladeira;Raymond Mattson;masculino;boleto
80;São Paulo;Lucas Pereira;Iphone;Tyrone Richards;masculino;boleto
81;Belo Horizonte;Luiz;Guitar Condor;Roger Philson;masculino;dinheiro
82;Juiz de Fora;Marcelo;Iphone;Carlos Doe;masculino;boleto
83;São Brás;Cristina;Geladeira;Jennifer Donaldson;feminino;boleto
84;Belo Horizonte;Leticia;Geladeira;James Tardif;masculino;pix
85;São Paulo;Ana Oliveira;Iphone;Richard Sarmiento;masculino;boleto
86;Juiz de Fora;Luiza;Smart Band 9 pro;Ruthann Shaffer;feminino;boleto
87;São Brás;Carlos;Geladeira;Billy Brown;masculino;dinheiro
88;São Paulo;Lucas Pereira;Guitar Condor;Anthony Mcbroom;masculino;boleto
89;São Brás;Carlos;Smart Band 9 pro;Michael Masino;masculino;boleto
90;São Brás;Cristina;Iphone;William Sharp;masculino;cartão de crédito
91;Juiz de Fora;Marcelo;Guitar Condor;Anna Raymond;feminino;pix
92;Juiz de Fora;Marcelo;Geladeira;Lenore Phelan;feminino;boleto
93;São Brás;Carlos;Smart Band 9 pro;Walter Morrison;masculino;dinheiro
94;São Paulo;Lucas Pereira;Iphone;Mohammed Parsons;masculino;pix
95;Juiz de Fora;Marcelo;Guitar Condor;Meredith Jones;feminino;boleto
96;Belo Horizonte;Leticia;Iphone;Ross Charles;masculino;boleto
97;São Brás;Cristina;Geladeira;Thomas Willis;masculino;cartão de crédito
98;São Brás;Cristina;Iphone;Heather Perez;feminino;cartão de crédito
99;São Brás;Carlos;Smart Band 9 pro;Myron Spann;masculino;dinheiro
100;Juiz de Fora;Luiza;Iphone;Gracie Malone;feminino;cartão de crédito
101;São Brás;Cristina;Guitar Condor;Joyce Shaffer;feminino;dinheiro
102;São Paulo;Ana Oliveira;Smart Band 9 pro;Gerald Erwin;masculino;boleto
103;Juiz de Fora;Luiza;Iphone;Sarah Samuel;feminino;cartão de crédito
104;São Brás;Carlos;Iphone;Steven Ortiz;masculino;boleto
105;Juiz de Fora;Luiza;Smart Band 9 pro;Julie Perault;feminino;boleto
106;São Brás;Carlos;Guitar Condor;Raymond Maze;masculino;boleto
107;Belo Horizonte;Luiz;Smart Band 9 pro;Kay Goodrow;feminino;dinheiro
108;São Paulo;Ana Oliveira;Guitar Condor;Kenneth Delgado;masculino;boleto
109;São Brás;Cristina;Smart Band 9 pro;Omar Thomas;masculino;cartão de crédito
110;São Paulo;Lucas Pereira;Guitar Condor;Aaron Beaumont;masculino;dinheiro
111;Belo Horizonte;Leticia;Iphone;Justin Ambler;masculino;dinheiro
112;Juiz de Fora;Luiza;Smart Band 9 pro;Carolyn Haffling;feminino;dinheiro
113;Belo Horizonte;Leticia;Iphone;Williams Ellis;masculino;boleto
114;Belo Horizonte;Leticia;Geladeira;Lori Dozier;feminino;pix
115;São Brás;Carlos;Guitar Condor;Linda Fuller;feminino;cartão de crédito
116;Juiz de Fora;Luiza;Smart Band 9 pro;Trevor Gordon;masculino;boleto
117;São Brás;Carlos;Iphone;Derrick Weil;masculino;dinheiro
118;São Paulo;Lucas Pereira;Guitar Condor;Edith Rollinger;feminino;boleto
119;São Brás;Cristina;Geladeira;Cedric Toney;masculino;pix
120;Juiz de Fora;Marcelo;Smart Band 9 pro;James Elrod;masculino;cartão de crédito
121;São Paulo;Lucas Pereira;Iphone;Alene Pinks;feminino;dinheiro
122;Juiz de Fora;Luiza;Geladeira;Donna Williams;feminino;cartão de crédito
123;Belo Horizonte;Luiz;Guitar Condor;Jeanette Meeter;feminino;dinheiro
124;São Paulo;Ana Oliveira;Smart Band 9 pro;Natalia Assante;feminino;cartão de crédito
125;Belo Horizonte;Luiz;Iphone;Roger Reiter;masculino;cartão de crédito
126;Juiz de Fora;Luiza;Guitar Condor;Latasha Cummings;feminino;cartão de crédito
127;Belo Horizonte;Luiz;Smart Band 9 pro;Richard Fox;masculino;dinheiro
128;São Paulo;Lucas Pereira;Iphone;Daniel Krohn;masculino;boleto
129;Juiz de Fora;Luiza;Geladeira;Mark Arrington;masculino;boleto
130;Juiz de Fora;Luiza;Smart Band 9 pro;Paulette Lamoureux;feminino;boleto
131;Juiz de Fora;Luiza;Iphone;Ella Bridges;feminino;boleto
132;Juiz de Fora;Luiza;Geladeira;Richard Knight;masculino;pix
133;São Paulo;Lucas Pereira;Smart Band 9 pro;Joshua Santos;masculino;boleto
134;Juiz de Fora;Luiza;Iphone;John Ennen;masculino;dinheiro
135;Juiz de Fora;Luiza;Geladeira;Rose Wheeler;feminino;cartão de crédito
136;São Paulo;Ana Oliveira;Geladeira;Lena Seidel;feminino;boleto
137;Belo Horizonte;Luiz;Smart Band 9 pro;Elaine Cruz;feminino;dinheiro
138;Belo Horizonte;Luiz;Smart Band 9 pro;Alice Murphy;feminino;boleto
139;São Paulo;Lucas Pereira;Iphone;Mary Delgado;feminino;pix
140;São Paulo;Lucas Pereira;Guitar Condor;Rudolph Hurrington;masculino;pix
141;São Paulo;Lucas Pereira;Guitar Condor;Shawn Tim;feminino;dinheiro
142;São Paulo;Ana Oliveira;Geladeira;Clarice Smith;feminino;boleto
143;São Paulo;Ana Oliveira;Geladeira;Kenneth Wiley;masculino;pix
144;São Paulo;Lucas Pereira;Geladeira;Jeffrey Martin;masculino;dinheiro
145;Belo Horizonte;Leticia;Guitar Condor;Terry Acevedo;masculino;dinheiro
146;Juiz de Fora;Marcelo;Smart Band 9 pro;Derek Manylath;masculino;pix
147;São Brás;Cristina;Guitar Condor;Fanny Jones;feminino;dinheiro
148;Belo Horizonte;Leticia;Smart Band 9 pro;David Bynum;masculino;dinheiro
149;Belo Horizonte;Leticia;Smart Band 9 pro;Rita Frisco;feminino;boleto
150;São Paulo;Ana Oliveira;Iphone;Ricky Hendrix;masculino;dinheiro
151;Belo Horizonte;Leticia;Guitar Condor;Barbara Salazar;feminino;cartão de crédito
152;Juiz de Fora;Marcelo;Smart Band 9 pro;Wesley Reed;masculino;cartão de crédito
153;São Paulo;Lucas Pereira;Guitar Condor;Betty Castillo;feminino;dinheiro
154;Juiz de Fora;Marcelo;Iphone;Cathleen Hatchett;feminino;pix
155;Juiz de Fora;Marcelo;Iphone;Brandon Delong;masculino;pix
156;Juiz de Fora;Marcelo;Geladeira;Francis Schnitker;masculino;dinheiro
157;São Paulo;Lucas Pereira;Iphone;Miles Soto;masculino;cartão de crédito
158;Belo Horizonte;Luiz;Smart Band 9 pro;Margaret Galbreath;feminino;boleto
159;Juiz de Fora;Luiza;Geladeira;John Meixner;masculino;pix
160;Belo Horizonte;Luiz;Guitar Condor;John Farris;masculino;pix
161;Belo Horizonte;Luiz;Iphone;Nestor Brecht;masculino;boleto
162;Belo Horizonte;Leticia;Guitar Condor;Eugene Lutz;masculino;boleto
163;Belo Horizonte;Leticia;Smart Band 9 pro;James Rodriguez;masculino;dinheiro
164;São Paulo;Ana Oliveira;Iphone;Felton Odum;masculino;cartão de crédito
165;Belo Horizonte;Luiz;Smart Band 9 pro;Thomas Copper;masculino;pix
166;Belo Horizonte;Leticia;Geladeira;Elizabeth Courtwright;feminino;dinheiro
167;Juiz de Fora;Luiza;Guitar Condor;Brandon Merkle;masculino;boleto
168;São Paulo;Lucas Pereira;Geladeira;Alyssa Reynolds;feminino;boleto
169;Juiz de Fora;Marcelo;Smart Band 9 pro;Pat Tripp;feminino;cartão de crédito
170;São Brás;Carlos;Iphone;Brandon Torres;masculino;boleto
171;Belo Horizonte;Luiz;Geladeira;Sandra Williamson;feminino;pix
172;Belo Horizonte;Luiz;Geladeira;Stephen Schexnayder;masculino;dinheiro
173;São Paulo;Lucas Pereira;Smart Band 9 pro;Gertrude Todd;feminino;boleto
174;São Paulo;Ana Oliveira;Geladeira;Alex Kalhorn;masculino;pix
175;São Paulo;Ana Oliveira;Smart Band 9 pro;Dale Petersen;masculino;pix
176;Belo Horizonte;Luiz;Iphone;Mary Washington;feminino;cartão de crédito
177;Belo Horizonte;Luiz;Iphone;Henry Hudson;masculino;pix
178;São Brás;Carlos;Geladeira;Lamar Pena;masculino;pix
179;São Paulo;Lucas Pereira;Guitar Condor;Lewis Sampson;masculino;boleto
180;Belo Horizonte;Luiz;Guitar Condor;Tina Wasson;feminino;pix
181;São Brás;Cristina;Guitar Condor;Virginia Seal;feminino;dinheiro
182;São Brás;Carlos;Guitar Condor;Lori Showe;feminino;pix
183;São Brás;Cristina;Geladeira;William Link;masculino;cartão de crédito
184;Belo Horizonte;Luiz;Iphone;Tina Harris;feminino;boleto
185;São Brás;Cristina;Smart Band 9 pro;Shawn Stollsteimer;masculino;pix
186;Juiz de Fora;Marcelo;Guitar Condor;Russell Drumgoole;masculino;dinheiro
187;Juiz de Fora;Marcelo;Smart Band 9 pro;Gertrude Cooper;feminino;dinheiro
188;Belo Horizonte;Luiz;Smart Band 9 pro;Alfred Craft;masculino;pix
189;Belo Horizonte;Luiz;Smart Band 9 pro;Jose Otting;masculino;boleto
190;Belo Horizonte;Luiz;Geladeira;Leo Coats;masculino;cartão de crédito
191;Juiz de Fora;Luiza;Guitar Condor;Trevor Anderson;masculino;dinheiro
192;São Brás;Cristina;Guitar Condor;Valene Roberts;feminino;pix
193;São Brás;Carlos;Smart Band 9 pro;Mary Blum;feminino;pix
194;Juiz de Fora;Marcelo;Smart Band 9 pro;Matthew Rens;masculino;pix
195;São Paulo;Ana Oliveira;Guitar Condor;Joseph Mcclain;masculino;cartão de crédito
196;São Brás;Cristina;Iphone;John Schlueter;masculino;cartão de crédito
197;São Brás;Carlos;Smart Band 9 pro;Bradley Shea;masculino;boleto
198;Belo Horizonte;Luiz;Smart Band 9 pro;Joe Weaver;masculino;pix
199;Juiz de Fora;Marcelo;Guitar Condor;William Lemmon;masculino;dinheiro
200;São Paulo;Lucas Pereira;Iphone;Frank Fars;masculino;boleto
201;Belo Horizonte;Luiz;Guitar Condor;Carolyn Chang;feminino;pix
202;São Paulo;Lucas Pereira;Iphone;Kenneth Driggs;masculino;cartão de crédito
203;São Paulo;Lucas Pereira;Smart Band 9 pro;Roberto Atkinson;masculino;boleto
204;Juiz de Fora;Marcelo;Guitar Condor;Caroline Beverly;feminino;cartão de crédito
205;São Paulo;Lucas Pereira;Geladeira;Marilyn Devore;feminino;cartão de crédito
206;São Paulo;Lucas Pereira;Geladeira;Naomi Kirkpatrick;feminino;boleto
207;São Paulo;Lucas Pereira;Smart Band 9 pro;Barbara Rauser;feminino;cartão de crédito
208;São Paulo;Lucas Pereira;Guitar Condor;Angela Reich;feminino;dinheiro
209;São Paulo;Lucas Pereira;Guitar Condor;Deborah Starnes;feminino;dinheiro
210;Belo Horizonte;Luiz;Guitar Condor;Dawn Brown;feminino;dinheiro
211;Juiz de Fora;Luiza;Guitar Condor;William Barbour;masculino;pix
212;Belo Horizonte;Luiz;Smart Band 9 pro;Kieth Dingess;masculino;boleto
213;Belo Horizonte;Luiz;Iphone;Carolyn Boutte;feminino;pix
214;Juiz de Fora;Luiza;Guitar Condor;Erich Self;masculino;boleto
215;Belo Horizonte;Leticia;Geladeira;Julie Reimer;feminino;boleto
216;São Brás;Carlos;Geladeira;Ron Norman;masculino;pix
217;São Brás;Carlos;Iphone;Jeff Redmond;masculino;pix
218;Juiz de Fora;Marcelo;Geladeira;Tabitha Myers;feminino;cartão de crédito
219;Belo Horizonte;Luiz;Guitar Condor;Robert Ader;masculino;pix
220;Belo Horizonte;Leticia;Geladeira;Janet Howard;feminino;cartão de crédito
221;Juiz de Fora;Luiza;Geladeira;Charles Przedwiecki;masculino;cartão de crédito
222;Belo Horizonte;Leticia;Geladeira;Kimberly Rusk;feminino;dinheiro
223;Belo Horizonte;Leticia;Smart Band 9 pro;Sergio Knight;masculino;dinheiro
224;Belo Horizonte;Leticia;Iphone;Francis Bean;feminino;boleto
225;São Brás;Carlos;Smart Band 9 pro;Shawn Croyle;masculino;boleto
226;São Brás;Carlos;Geladeira;Carmen Hebel;feminino;boleto
227;Juiz de Fora;Marcelo;Iphone;Mildred Dyer;feminino;cartão de crédito
228;Belo Horizonte;Luiz;Geladeira;Brandon Santos;masculino;boleto
229;Juiz de Fora;Marcelo;Geladeira;Ruth Jenkins;feminino;cartão de crédito
230;Juiz de Fora;Luiza;Geladeira;James Bencomo;masculino;boleto
231;Belo Horizonte;Leticia;Iphone;Willie Mason;masculino;cartão de crédito
232;Juiz de Fora;Marcelo;Iphone;Jason Baker;masculino;boleto
233;São Brás;Cristina;Iphone;Michael Riney;masculino;pix
234;Belo Horizonte;Leticia;Smart Band 9 pro;Joseph Gaylor;masculino;dinheiro
235;São Brás;Carlos;Smart Band 9 pro;Sabrina Andre;feminino;boleto
236;Belo Horizonte;Leticia;Guitar Condor;Israel Washington;masculino;pix
237;São Brás;Cristina;Geladeira;Corey Roemmich;masculino;dinheiro
238;Belo Horizonte;Leticia;Geladeira;Jonathan Andrews;masculino;cartão de crédito
239;São Brás;Cristina;Geladeira;Michael Gardner;masculino;cartão de crédito
240;Juiz de Fora;Marcelo;Iphone;Robin Roberts;feminino;pix
241;Belo Horizonte;Leticia;Smart Band 9 pro;Harold Nissen;masculino;pix
242;Juiz de Fora;Marcelo;Iphone;James Bourque;masculino;cartão de crédito
243;São Brás;Carlos;Geladeira;Lloyd Miller;masculino;pix
244;Juiz de Fora;Marcelo;Iphone;James Negri;masculino;dinheiro
245;São Paulo;Ana Oliveira;Iphone;Stephen Tadlock;masculino;boleto
246;São Paulo;Lucas Pereira;Iphone;Willie Crawford;masculino;pix
247;Juiz de Fora;Luiza;Guitar Condor;Suzanne Figueroa;feminino;pix
248;Juiz de Fora;Luiza;Smart Band 9 pro;Carolyn Jones;feminino;boleto
249;Belo Horizonte;Luiz;Iphone;Angela Gosnell;feminino;dinheiro
250;Juiz de Fora;Marcelo;Guitar Condor;Thomas Scott;masculino;dinheiro
251;Belo Horizonte;Leticia;Smart Band 9 pro;Leora Davis;feminino;boleto
252;Juiz de Fora;Marcelo;Guitar Condor;Pedro Mcdaniel;masculino;boleto
253;Belo Horizonte;Luiz;Geladeira;Opal Countryman;feminino;cartão de crédito
254;Belo Horizonte;Luiz;Smart Band 9 pro;Eugene Harris;masculino;dinheiro
255;São Paulo;Lucas Pereira;Iphone;Teresa Larmore;feminino;cartão de crédito
256;Juiz de Fora;Luiza;Geladeira;Candida Johnson;feminino;dinheiro
257;Belo Horizonte;Leticia;Smart Band 9 pro;Kenneth Hooper;masculino;cartão de crédito
258;São Brás;Carlos;Geladeira;Anna Davis;feminino;pix
259;Belo Horizonte;Leticia;Guitar Condor;Tressie Robert;feminino;boleto
260;Juiz de Fora;Marcelo;Guitar Condor;Darryl Sparks;masculino;cartão de crédito
261;São Brás;Cristina;Guitar Condor;Jessie Paider;masculino;pix
262;Belo Horizonte;Luiz;Geladeira;Jason Camargo;masculino;pix
263;Juiz de Fora;Luiza;Geladeira;Ronald Anguiano;masculino;pix
264;Juiz de Fora;Marcelo;Guitar Condor;Sarah Kimme;feminino;dinheiro
265;Belo Horizonte;Luiz;Iphone;Cleo Repp;feminino;boleto
266;São Paulo;Lucas Pereira;Iphone;Lora Stiles;feminino;boleto
267;Belo Horizonte;Luiz;Iphone;Richard Cox;masculino;pix
268;Belo Horizonte;Luiz;Guitar Condor;Tyree Dallas;masculino;pix
269;São Paulo;Lucas Pereira;Guitar Condor;Joseph Canon;masculino;cartão de crédito
270;São Paulo;Ana Oliveira;Iphone;Pauline Weatherly;feminino;boleto
271;Belo Horizonte;Luiz;Smart Band 9 pro;Paul Scott;masculino;cartão de crédito
272;São Brás;Carlos;Iphone;Louis Willis;masculino;pix
273;São Brás;Cristina;Smart Band 9 pro;Evelyn Ayala;feminino;pix
274;São Paulo;Lucas Pereira;Guitar Condor;Mary Worden;feminino;boleto
275;Juiz de Fora;Luiza;Guitar Condor;Naomi Scaife;feminino;boleto
276;São Brás;Carlos;Smart Band 9 pro;Eva Jones;feminino;boleto
277;Juiz de Fora;Marcelo;Guitar Condor;Robin Paine;feminino;boleto
278;Belo Horizonte;Luiz;Iphone;Henry Cassella;masculino;boleto
279;Belo Horizonte;Luiz;Iphone;Mary Talavera;feminino;cartão de crédito
280;São Brás;Carlos;Guitar Condor;Jackie Miller;masculino;dinheiro
281;Belo Horizonte;Luiz;Iphone;Michael Bledsoe;masculino;dinheiro
282;São Brás;Cristina;Smart Band 9 pro;George Mcclelland;masculino;dinheiro
283;Belo Horizonte;Leticia;Geladeira;George Lapointe;masculino;boleto
284;Belo Horizonte;Leticia;Geladeira;Gail Gage;feminino;cartão de crédito
285;Belo Horizonte;Luiz;Iphone;Norman Young;masculino;boleto
286;São Brás;Carlos;Geladeira;Lucille Spears;feminino;pix
287;Belo Horizonte;Leticia;Smart Band 9 pro;Erica Haynes;feminino;boleto
288;São Brás;Carlos;Smart Band 9 pro;William Lozano;masculino;dinheiro
289;São Brás;Carlos;Geladeira;Jeremy Davis;masculino;dinheiro
290;Juiz de Fora;Marcelo;Iphone;Adrienne Washington;feminino;boleto
291;Juiz de Fora;Marcelo;Geladeira;Patricia Jimenez;feminino;cartão de crédito
292;Juiz de Fora;Marcelo;Guitar Condor;Virginia Read;feminino;dinheiro
293;São Paulo;Ana Oliveira;Geladeira;Joanna Liszewski;feminino;dinheiro
294;Belo Horizonte;Leticia;Iphone;John James;masculino;boleto
295;Belo Horizonte;Leticia;Guitar Condor;Margaret Vigo;feminino;boleto
296;Juiz de Fora;Marcelo;Geladeira;Samatha Harres;feminino;pix
297;Belo Horizonte;Leticia;Guitar Condor;Roy Cooper;masculino;dinheiro
298;São Brás;Carlos;Smart Band 9 pro;Maryanne Roberts;feminino;boleto
299;São Paulo;Lucas Pereira;Smart Band 9 pro;America Rivera;feminino;boleto
300;São Brás;Cristina;Iphone;Robert Smith;masculino;boleto
301;São Brás;Carlos;Guitar Condor;Keven Dennis;masculino;boleto
302;São Paulo;Ana Oliveira;Iphone;Charles Mercier;masculino;cartão de crédito
303;Belo Horizonte;Luiz;Smart Band 9 pro;Jodie Brito;feminino;boleto
304;São Brás;Cristina;Guitar Condor;Francis Mouton;masculino;boleto
305;São Brás;Carlos;Smart Band 9 pro;Lisa Flood;feminino;pix
306;Belo Horizonte;Leticia;Iphone;Ernestine Morales;feminino;dinheiro
307;São Brás;Carlos;Guitar Condor;Elizabeth Taylor;feminino;pix
308;Juiz de Fora;Marcelo;Smart Band 9 pro;Bobby Greene;masculino;cartão de crédito
309;Belo Horizonte;Luiz;Smart Band 9 pro;Virginia Smith;feminino;dinheiro
310;Juiz de Fora;Marcelo;Smart Band 9 pro;Michael Ruppert;masculino;pix
311;São Brás;Carlos;Guitar Condor;Juanita Peters;feminino;dinheiro
312;Belo Horizonte;Luiz;Geladeira;Inez Southerland;feminino;dinheiro
313;Juiz de Fora;Marcelo;Iphone;Elza Robinson;feminino;cartão de crédito
314;Belo Horizonte;Leticia;Geladeira;John Wallick;masculino;cartão de crédito
315;Belo Horizonte;Luiz;Geladeira;Virginia Lindsey;feminino;pix
316;São Paulo;Ana Oliveira;Smart Band 9 pro;Jaime Jeanette;masculino;pix
317;Juiz de Fora;Marcelo;Guitar Condor;Charles Forte;masculino;pix
318;São Paulo;Ana Oliveira;Smart Band 9 pro;Erin Calderon;feminino;cartão de crédito
319;São Paulo;Lucas Pereira;Geladeira;Brian Kelley;masculino;boleto
320;Juiz de Fora;Marcelo;Smart Band 9 pro;Frank Belanger;masculino;pix
321;São Paulo;Lucas Pereira;Smart Band 9 pro;Von Linahan;masculino;boleto
322;São Paulo;Lucas Pereira;Geladeira;Michael Mitchell;masculino;cartão de crédito
323;São Brás;Cristina;Geladeira;Sarah Mcbee;feminino;dinheiro
324;São Paulo;Ana Oliveira;Geladeira;Tammy Powell;feminino;boleto
325;São Brás;Cristina;Guitar Condor;Charles Selvester;masculino;boleto
326;São Paulo;Lucas Pereira;Geladeira;Bernard Crowder;masculino;cartão de crédito
327;Belo Horizonte;Leticia;Guitar Condor;Jennifer Williams;feminino;dinheiro
328;Belo Horizonte;Leticia;Iphone;Ruby Smith;feminino;cartão de crédito
329;Belo Horizonte;Leticia;Guitar Condor;Jimmie Croft;masculino;boleto
330;São Brás;Cristina;Guitar Condor;Roberto Foote;masculino;dinheiro
331;São Paulo;Ana Oliveira;Geladeira;Clarice Hacker;feminino;pix
332;Juiz de Fora;Luiza;Guitar Condor;Christy Rubalcava;feminino;boleto
333;São Paulo;Lucas Pereira;Iphone;Christal Vining;feminino;dinheiro
334;São Paulo;Lucas Pereira;Guitar Condor;Michelle Cromer;feminino;cartão de crédito
335;Belo Horizonte;Luiz;Iphone;Reuben Wheat;masculino;cartão de crédito
336;São Paulo;Ana Oliveira;Iphone;Thomas Denning;masculino;boleto
337;São Brás;Cristina;Smart Band 9 pro;Yuriko Edwards;feminino;boleto
338;Belo Horizonte;Leticia;Geladeira;James Terrio;masculino;cartão de crédito
339;Belo Horizonte;Leticia;Guitar Condor;Ernest Allison;masculino;cartão de crédito
340;São Brás;Carlos;Guitar Condor;Paul Ryan;masculino;boleto
341;Juiz de Fora;Marcelo;Guitar Condor;Linda Dew;feminino;pix
342;Belo Horizonte;Leticia;Iphone;Ivan Prehn;masculino;pix
343;Juiz de Fora;Marcelo;Guitar Condor;Charles Cullen;masculino;dinheiro
